match_id,player_id,match_date,kills,deaths,assists,accuracy,headshot_rate,avg_reaction_time_ms,shots_fired,damage_dealt,movement_speed_avg,play_duration_seconds,is_cheater
d32e6dcd-83bc-9478-dd6a-c7b86778043b,player_0791,2025-01-01,9,2,7,0.2314,0.1163,192.4,157,601,5.94,2525,False
5be9fdb3-dd92-dd7c-0db9-77a99e91a71c,player_0461,2025-01-01,12,4,1,0.2344,0.2051,172.1,111,1240,4.82,1925,False
55c3b2db-f374-190d-0274-ce40e09016b6,player_0710,2025-01-01,3,10,12,0.3054,0.1224,216.8,32,1815,6.16,1742,False
0ba6aa86-cf52-85f7-bf8c-c6f9b5a61d61,player_0612,2025-01-01,12,0,9,0.2968,0.3112,203.8,152,959,5.41,2508,False
d37a430a-2f2a-a5e8-667a-e277348f9ce0,player_0384,2025-01-01,8,6,5,0.2745,0.2238,244.3,124,763,5.78,1840,False
7de1936b-d0fe-e4f1-2b1c-2d3dfcadb3fd,player_0006,2025-01-01,25,2,8,0.8332,0.7486,61.9,282,3844,8.57,2317,True
cab285dc-85b7-b774-3608-937418caa0a9,player_0042,2025-01-01,7,0,4,0.214,0.2683,258.2,213,923,5.04,1299,False
4f00ba6a-f189-d0b1-17dc-abf550885581,player_0049,2025-01-01,6,5,6,0.4657,0.1837,276.9,260,1407,5.01,1320,False
9364ecb5-db29-920a-c886-b7c6a4c755b0,player_0018,2025-01-01,3,14,0,0.3695,0.1655,247.6,467,1375,5.99,1913,False
057eccfa-15f3-b747-10bb-5ed3c9765bdf,player_0099,2025-01-01,9,10,2,0.4769,0.1224,209.4,287,0,5.34,2007,False
0d25c8d0-fde9-0c2d-26e2-1c56a5e158aa,player_0714,2025-01-01,33,1,0,0.6997,0.6546,70.1,223,2654,8.31,1988,True
0dbf38ed-ece3-e35d-3a99-542f58d687f6,player_0622,2025-01-01,10,8,6,0.249,0.0872,237.2,509,995,3.27,2340,False
e883a4f4-b29f-2d6b-8915-a36405aa0cd3,player_0378,2025-01-01,3,6,5,0.0956,0.1196,322.9,189,1908,4.63,1499,False
0cc8fa21-b601-e5b2-01c3-63cd7add3695,player_0290,2025-01-01,8,0,2,0.467,0.3621,178.3,199,1209,4.26,2011,False
bc6699ff-bd73-1fcc-31ff-18f9e8a541f8,player_0196,2025-01-01,11,4,9,0.2348,0.0622,232.2,351,831,6.26,1205,False
3540a26d-de77-3d4f-9ad1-0cac7c20ecf5,player_0561,2025-01-01,8,5,5,0.3685,0.0729,308.1,334,921,5.53,1164,False
eacfcefb-c462-2393-6070-fd1ee687cc1e,player_0692,2025-01-01,22,3,2,0.7567,0.5751,71.4,181,2601,6.43,1691,True
62f7fc37-4e17-9117-7265-2f1e47b0c1ec,player_0552,2025-01-01,3,1,4,0.2633,0.3018,335.9,298,1767,5.71,1436,False
bfcc1b34-50ce-a9b7-5054-e42983fffeb5,player_0228,2025-01-01,16,0,5,0.7219,0.6272,49.9,506,3634,8.08,1649,True
8664e5a3-7b66-efa2-f7c4-30cac5d9a515,player_0033,2025-01-01,13,11,2,0.2131,0.2699,239.6,363,1829,5.52,2613,False
1d5f151f-2677-06bd-95a4-2bd4d76c1ede,player_0285,2025-01-01,10,4,1,0.3955,0.2607,276.7,431,767,7.8,2794,False
5ffd2214-7abf-9970-7ee0-d61d00d80a5b,player_0671,2025-01-01,3,5,7,0.2788,0.1001,226.4,97,485,5.86,2323,False
51d9c0f4-cb9d-138f-5285-a7db728619db,player_0028,2025-01-01,11,10,2,0.1837,0.1837,241.4,315,1782,5.5,2458,False
4d351375-1abf-d7aa-50f1-0435d798608f,player_0169,2025-01-01,6,0,0,0.2628,0.1282,218.9,334,1769,7.1,1869,False
56e07c4e-4e37-2306-01c5-18d0fee19570,player_0762,2025-01-01,4,6,1,0.2952,0.1948,268.9,337,1332,5.22,2402,False
9a00c4c0-d573-fe2d-d3dc-7fcb31d3a0c6,player_0346,2025-01-01,9,0,0,0.3224,0.1688,182.1,446,1253,5.34,1679,False
8deeb414-036c-c5c8-fccf-ee920b3312c9,player_0423,2025-01-01,5,1,3,0.2171,0.2752,207.7,485,1265,6.58,1800,False
